track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
408UEGA6FV2nvQjr1nt1VT,240000,51,0.502,0.0543,0.8740000000000001,1.27e-06,0.426,-3.742,0.203,141.776,4,0
4XeIiGpUBshIfs9yrBDVZC,359126,77,0.633,0.007640000000000001,0.92,0.0017699999999999999,0.12300000000000001,-2.812,0.0928,114.99700000000001,4,0
6GomT970rCOkKAyyrwJeZi,157445,83,0.848,0.0169,0.821,0.00040300000000000004,0.0962,-5.4079999999999995,0.0527,125.051,4,0
50ZFpw2wS6ERvLmW8TINhq,168053,82,0.7879999999999999,0.223,0.945,2.97e-06,0.115,-5.091,0.0599,128.036,4,0
08Ecw0ItPxGeHS9Mexr8cs,242905,73,0.716,0.00857,0.655,0.162,0.0572,-5.999,0.0444,125.012,4,0
0KG7XrgM20KEmJrKsyFDAm,234375,58,0.584,0.10099999999999999,0.955,0.00243,0.092,-4.197,0.0507,128.04,4,0
4RAR8g8fZNB106ezUurnE0,215203,80,0.75,0.293,0.797,0.0,0.392,-4.8260000000000005,0.11800000000000001,105.949,4,0
26KOUSe9W0ZsTxMgNfbmq1,177689,43,0.774,0.19399999999999998,0.784,1.07e-05,0.293,-4.5489999999999995,0.0351,127.042,4,0
7y3c1oJMY1CwwtOZ84Qovu,174795,76,0.687,0.0121,0.7879999999999999,0.0,0.358,-5.142,0.0352,123.02,4,0
4aXij4j5BNOKKNrxgA6wc6,220952,44,0.7120000000000001,0.00355,0.868,0.0117,0.035,-5.617999999999999,0.08,126.01799999999999,4,0
424Uwmm1kNW07Ty1nOhSpl,232959,76,0.478,0.10099999999999999,0.8220000000000001,6.6e-05,0.12,-1.9609999999999999,0.0642,130.058,4,0
6oYXbji1rn7U6bFuNYekpQ,188732,74,0.601,0.0313,0.879,0.0,0.0793,-2.673,0.0353,124.01299999999999,4,0
7BhmwvCdQZNwuQXSHw5TzP,158400,78,0.626,0.00998,0.754,0.00404,0.157,-6.2170000000000005,0.0269,100.015,4,0
5kVXjAxYDkN57tZQi0JKya,253787,73,0.6579999999999999,0.0335,0.9079999999999999,0.0198,0.221,-8.071,0.18600000000000003,123.92,4,0
6LJsVZlhPAvrALPYka3xXz,223992,57,0.6579999999999999,0.0102,0.937,0.32899999999999996,0.16899999999999998,-5.773,0.0389,124.988,4,0
1dt220OBbkTsYz1NLVKIaw,178310,76,0.39799999999999996,0.00935,0.956,0.0038,0.142,-4.428999999999999,0.32899999999999996,106.581,4,0
0YQEWdfq3ajtNtK106Dr0k,159315,76,0.632,0.00604,0.691,0.00149,0.19,-5.226,0.0603,116.02799999999999,4,0
5WOnsi0Bug74LmhxcPfKvR,150476,79,0.6940000000000001,0.0399,0.828,0.0,0.0796,-4.6530000000000005,0.0336,126.00200000000001,4,0
7AVyve7cFYTd51ha5i9kE2,158774,84,0.308,0.012,0.861,0.00103,0.27699999999999997,-4.112,0.172,171.96599999999998,4,0
2OZZpID4LgZ0GGm8XB99e3,199091,74,0.638,0.0241,0.872,0.0159,0.11800000000000001,-6.221,0.0415,121.041,4,0
0fp6PDlnCkmdE0F3s0tfr6,171599,73,0.779,0.165,0.727,0.0194,0.32,-8.59,0.053,124.021,4,0
3I10tZ5MgEMo4WryCNJkZQ,230946,74,0.6559999999999999,0.02,0.655,0.008159999999999999,0.10300000000000001,-6.766,0.024,127.001,4,0
0B3H6se7MYo3D7BmzfvdVN,158725,76,0.7929999999999999,0.000755,0.8859999999999999,0.878,0.29600000000000004,-5.071000000000001,0.0445,124.04,4,0
1aEHWqvtZ1JIBUl1loQBDn,209688,59,0.731,0.0527,0.807,0.00022999999999999998,0.0737,-6.575,0.0432,126.03299999999999,4,0
2yYb6Ru1cwcDUBS4txRYQL,130413,53,0.731,0.00861,0.904,0.000164,0.0916,-4.774,0.0349,121.03,4,0
5902W4uHWzhtOff1UK7the,161267,87,0.685,0.027999999999999997,0.8859999999999999,0.0,0.48100000000000004,-4.178999999999999,0.034,125.03399999999999,4,0
1QgebV92VO4Z7VxbQ1tSKo,226207,72,0.358,0.175,0.78,0.00062,0.265,-3.4,0.0447,173.917,4,0
22PnPdB20lq7wElHkk17oP,172953,77,0.7190000000000001,0.16699999999999998,0.818,0.00010700000000000001,0.0362,-4.6739999999999995,0.0424,148.00799999999998,4,0
2rNy5Ils7RO6m2E2W83CR5,149456,69,0.78,0.0686,0.863,0.284,0.316,-5.425,0.0384,124.00399999999999,4,0
3t4KHjd8uQpJJ2fa0fRIpR,175163,87,0.601,0.0492,0.787,0.0,0.142,-6.178,0.031,134.981,4,0
6EafRI0UtUidrZbbKpFRYq,177638,69,0.721,0.0428,0.894,0.502,0.134,-7.59,0.0488,127.005,4,0
7ElC7VjUNl3oJ20Q5OpEh9,153167,73,0.779,0.035,0.763,1.65e-06,0.11199999999999999,-5.58,0.34,119.94,4,0
6Owc2SuzwO3LW1SAODYK3l,167142,79,0.63,0.0231,0.91,1.91e-06,0.125,-2.681,0.057999999999999996,123.01700000000001,4,0
4G4patpYxsF6ovHZOX9wgR,219048,73,0.544,0.00162,0.856,0.818,0.0763,-6.84,0.0314,125.992,4,0
1m66iYSRv0qEQBo0RqyPaw,174344,63,0.647,0.00854,0.773,0.0107,0.7140000000000001,-5.893,0.0403,121.99700000000001,4,0
2Xy1UIVfOlukyye6Fd0wrI,169672,81,0.6729999999999999,0.083,0.7290000000000001,0.0,0.1,-4.879,0.0496,122.023,4,0
2qLM9dbsAbjCE9N3fPagG2,198906,40,0.6859999999999999,0.000576,0.9540000000000001,0.826,0.0763,-4.652,0.0552,127.986,4,0
