track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
20on25jryn53hWghthWWW3,157890,82,0.8540000000000001,0.0209,0.8059999999999999,0.0542,0.0703,-8.262,0.0886,124.927,4,0
18asYwWugKjjsihZ0YvRxO,164819,69,0.754,0.0301,0.763,2.23e-05,0.0901,-4.627,0.0435,117.95299999999999,4,0
46nvQpUDsxpS08UTFOeKTA,165524,78,0.539,0.0265,0.715,0.0,0.609,-6.638999999999999,0.0595,123.854,4,0
2gpWyfu7eZ01zzncHpxOtA,234000,91,0.542,0.00279,0.659,0.0,0.105,-7.289,0.0389,120.12200000000001,4,0
0YORgvqP1MotwCnDZzOwII,181728,74,0.6859999999999999,0.0896,0.856,0.0,0.0648,-2.717,0.0426,123.99700000000001,4,0
6zSpb8dQRaw0M1dK8PBwQz,202735,95,0.7959999999999999,0.034,0.7979999999999999,4.1899999999999995e-05,0.0952,-6.312,0.0317,116.03200000000001,4,0
4ASOMWcJUrwEpjJy4GEijz,196900,67,0.685,0.005520000000000001,0.9109999999999999,0.0247,0.285,-4.977,0.14400000000000002,128.02,4,0
0mWXMQ8hrrAJfxN7LG2Wsk,269480,69,0.528,0.0364,0.608,0.0194,0.11199999999999999,-7.071000000000001,0.0283,144.97299999999998,4,0
7BxIvkfVSgoUUlDcBVff61,135266,48,0.738,0.0496,0.7929999999999999,8.48e-05,0.0522,-4.313,0.0685,124.012,4,0
3KffMs30iYfPNYI8epNj5a,196797,64,0.767,0.0249,0.878,0.0294,0.147,-4.581,0.0648,125.01799999999999,4,0
0KzCNeuMVGXbnMbjX6ilCU,216092,58,0.6890000000000001,0.0537,0.797,0.0,0.212,-5.604,0.128,117.98200000000001,4,0
4xMbBESczlHPUO8QeYi56p,148960,81,0.695,0.0185,0.7809999999999999,3.12e-05,0.295,-5.577999999999999,0.0452,124.04,4,0
63aj87TQG6F3RVO5nbG2VQ,131067,88,0.915,0.025,0.72,1.42e-05,0.0942,-3.1260000000000003,0.0459,126.986,4,0
1tZC1ktebdhQSlhnFSetLk,238585,67,0.711,0.00762,0.6559999999999999,0.39799999999999996,0.121,-8.262,0.0308,124.005,4,0
3zbbRebB1rzlXJgq7Ufn8V,178049,61,0.629,0.00463,0.809,0.0347,0.205,-5.775,0.0339,122.975,4,0
50YQaQXog18lS11wGCl77u,201176,68,0.539,0.0233,0.6990000000000001,0.0,0.13699999999999998,-7.754,0.0409,122.02,4,0
0d1ujEcFwTqA4kWliTSJim,132598,75,0.773,0.0276,0.8390000000000001,0.00797,0.132,-4.046,0.0566,123.975,4,0
1TepyN2GXukyc6wo3kTFMO,158000,61,0.613,0.0592,0.9490000000000001,0.812,0.115,-7.949,0.0359,125.99700000000001,4,0
08g7wxW8iELmpxO0ppcwnI,108373,73,0.616,0.516,0.856,0.0652,0.245,-6.098,0.0457,157.109,4,0
4Vd53EHIw4lEfe7rqHSctN,349591,63,0.574,0.0267,0.9570000000000001,0.242,0.298,-5.749,0.063,195.99200000000002,4,0
4JlbNN3jRVy0agVxF2K5DA,158916,64,0.631,0.00419,0.9259999999999999,0.0,0.579,-3.236,0.0647,122.083,4,0
2wf2KMhjoHSZXKVHNBoTMg,202905,69,0.6729999999999999,0.0243,0.625,0.0219,0.0577,-6.854,0.0272,124.001,4,0
5WoBAyXaOnKEfvsZocrPeT,186047,57,0.861,0.042,0.779,0.00595,0.0738,-8.292,0.0682,129.009,4,0
5MxKAr6Ui5hQ9TtjdnlmrR,158807,71,0.596,0.0696,0.743,2.37e-06,0.20199999999999999,-4.149,0.0302,125.883,4,0
0ElflcN13tFhYL3wiBNrNw,264046,52,0.795,0.0213,0.474,0.758,0.0967,-8.166,0.0642,120.01700000000001,4,0
0REGWAoURfSLQe5hQhlsKK,131907,69,0.5429999999999999,0.0065,0.833,0.0746,0.1,-6.547999999999999,0.0582,167.183,4,0
1CFT2xoJknV2Hu3rpn0x3K,225450,61,0.36700000000000005,0.159,0.782,0.0,0.113,-5.9079999999999995,0.11699999999999999,195.26,4,0
6DiogHhtwkVgUHUDUJVuXV,224570,70,0.511,0.0619,0.804,0.0,0.0873,-3.8080000000000003,0.0433,145.055,4,0
1yApeqGiKKeAMptbNUv2Mf,249679,56,0.812,0.00826,0.7959999999999999,0.9209999999999999,0.365,-10.548,0.0356,125.976,4,0
2cegJfpyiaWXclqj5HRsZG,197978,65,0.8079999999999999,0.0015300000000000001,0.9940000000000001,0.8740000000000001,0.0686,-6.3260000000000005,0.071,127.00399999999999,4,0
132fXaozCi3EKmNgTnWmiW,228407,55,0.703,0.0124,0.968,0.442,0.0461,-2.8510000000000004,0.0619,123.988,4,0
3Zs7UPRJeoy3uycdPHVfwv,167999,65,0.741,0.415,0.76,4.27e-06,0.095,-5.359,0.0447,120.01,4,0
6giM7T99H6Xr4O2q4i4MQS,234098,49,0.5589999999999999,0.0842,0.9059999999999999,0.00834,0.1,-2.819,0.0369,121.99700000000001,4,0
3S7A85bAWOd6ltk6r2ANOI,180480,81,0.503,0.0221,0.7829999999999999,0.00223,0.14,-4.761,0.0385,125.12200000000001,4,0
1ymsN94JMOSZncP5WETfSh,183091,58,0.7170000000000001,0.345,0.7959999999999999,0.0,0.0737,-5.474,0.0599,123.99600000000001,4,0
7ElC7VjUNl3oJ20Q5OpEh9,153167,61,0.779,0.035,0.763,1.65e-06,0.11199999999999999,-5.58,0.34,119.94,4,0
5vcfy76yr163pFH7NkN6nX,190240,72,0.685,0.00675,0.9440000000000001,0.0174,0.18100000000000002,-3.742,0.092,124.038,4,0
