track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
7LHqxlhat0OIf3gCOGnOGr,Age of Love - ARTBAT Rave Mix,Age of Love (ARTBAT Rave Mix),Pete Tong,1/7/2022,445440,58,0.566,0.0284,0.774,0.896,0.0562,-9.427,0.0644,124.988,4
2T5lAs95i1Gx6FjYYJZ1zr,Running (feat. Meg Myers) - Extended Mix,Running,Meg Myers,12/8/2021,385437,32,0.699,0.0347,0.803,0.693,0.115,-7.437,0.0435,124.979,4
1pIBxvFjjnp7tAKOTwA0Az,Steps,Steps,Jeremy Olander,6/5/2020,358095,53,0.801,0.00358,0.899,0.939,0.0452,-9.105,0.0535,126.008,4
0OOT6JmtkcYidsuQ9Fh54i,Weightless - jamesjamesjames Remix,Weightless (jamesjamesjames Remix),jamesjamesjames,4/7/2021,249780,65,0.688,0.43,0.814,0.581,0.399,-7.252,0.0419,127.99,4
61zB4KTrgORQiXRJ1B3urg,More Than Human,Music For My Memories Pt. II,Luttrell,6/9/2021,253562,49,0.56,0.0253,0.865,0.542,0.0961,-7.768,0.0363,124.023,4
1CyXdBw2TNgqtPIX3210qR,Ocean Blue,Why Not Me EP,Franky Wah,11/24/2021,329816,41,0.676,0.571,0.743,0.831,0.118,-4.736,0.0278,123.007,4
6NpWqc7uYthjC5M7v7c1Gs,Power,Power,Maur,8/20/2021,198387,60,0.588,0.000491,0.928,0.322,0.311,-6.593,0.0438,124.928,3
0bqjS54zmDlYanW8mlx28k,Lose Control,Deep State,Grum,11/8/2019,337500,54,0.542,0.00113,0.857,0.571,0.0779,-6.133,0.0352,128.011,4
6giM7T99H6Xr4O2q4i4MQS,Time and Time Again - Single Edit,Time and Time Again,Bob Moses,11/5/2021,234098,59,0.559,0.0842,0.906,0.00834,0.1,-2.819,0.0369,121.997,4
2USVsdlxRntLqOROwO422o,Haunt Me V.2,Haunt Me V.2,The Moth & The Flame,9/3/2021,298829,51,0.717,0.0361,0.888,0.0438,0.146,-7.237,0.0994,125.011,4
76XAEIVTSmXwrq41rt2n5G,Forget It,Forget It,Matroda,12/4/2020,173694,63,0.717,0.179,0.903,0.00532,0.192,-6.042,0.141,122.986,4
0Qgs6zkdRXT7nAf6q61LmV,8000,Extra Welt Hits,Extrawelt,10/30/2020,404674,49,0.756,0.052,0.92,0.893,0.108,-8.692,0.0585,129.994,4
6uSLLJJ5r936DO1SASSViy,Hide and Seek - Le Youth Remix,Hide and Seek (Le Youth Remix),Le Youth,5/7/2021,231288,54,0.591,0.00279,0.763,0.0214,0.136,-9.63,0.0314,123.98,4
6NitJf2pJZ4ssPTWZ1ZuVv,About Us,About Us,Le Youth,3/30/2020,286520,62,0.631,0.0342,0.694,0.774,0.1,-9.185,0.0368,122,4
6iNjFncKo3p2T2gi9yKuOw,The Navigator,The Navigator,Joris Voorn,11/5/2021,363104,41,0.641,0.00499,0.87,0.938,0.111,-8.874,0.0357,127.964,3
0XXWZcLfM8drFINoxPx5fC,Twin Souls,Twin Souls,Luttrell,10/20/2020,269460,50,0.577,0.259,0.873,0.947,0.118,-6.657,0.0344,122.982,4
0gT8d4DW5wDlJahSlLiuda,My Stripes,My Stripes,Leo Wood,10/27/2020,267488,52,0.661,0.025,0.694,0.115,0.0417,-7.902,0.0325,123.958,3
7DLxRocVGAXVaq63ZuuIby,Reclaim Me (feat. Nimmo) - Maya Jane Coles Remix [Edit],Reclaim Me (feat. Nimmo) [Maya Jane Coles Remix],Maya Jane Coles,10/9/2020,203268,42,0.838,0.0458,0.587,0.19,0.0632,-4.587,0.0386,129.972,4
7bTN2ZFftsLk8TELDOxKqB,False Reactions,First Contact,Lastlings,11/20/2020,311280,39,0.634,0.027,0.799,0.0344,0.128,-8.918,0.0323,119.994,4
5pK2Elt8xOENwe8xAGfASw,Beyond Control,Apnea,Monolink,10/8/2021,332147,57,0.669,0.00122,0.619,0.817,0.0677,-9.02,0.0376,124.994,4
49Uhm2WdbqxhiKsx14sXEQ,How Long v3,How Long v3,Late Night Alumni,12/24/2021,302388,50,0.676,0.0457,0.833,0.394,0.258,-7.102,0.043,125.997,4
50fWnqvVS2SwMOnzRVXV62,Invisible,Reconnection EP,Dom Youdan,10/1/2021,245125,47,0.576,0.0125,0.903,0.749,0.103,-7.438,0.0542,128.019,4
02u5cHxHuJ6NpUIhGsdbU7,Neon Jungle - Lane 8 Remix,Neon Jungle (Lane 8 Remix),Lane 8,10/9/2020,249919,0,0.75,0.0258,0.56,0.891,0.113,-8.99,0.0313,124.037,4
4Np4NOxEBsYvPNBZ8W0BDu,Home,Home,Solomun,10/16/2020,221091,60,0.679,0.00634,0.707,0.855,0.18,-11.453,0.04,120.007,4
0z3hYtKH35ltEcPfeyBXj4,Otherside - Nils Hoffmann Remix,Otherside (Nils Hoffmann Remix),Nils Hoffmann,2/1/2021,218881,61,0.769,0.453,0.499,0.349,0.0958,-12.845,0.0411,125.028,4
2SDuPSd6KCcyy1lHK2rlKV,Cronus,Cronus,Kasablanca,11/12/2021,293706,41,0.667,0.00607,0.937,0.91,0.124,-6.623,0.0462,123.998,4
0MjVztKL0FI9oU6L9QKzLf,Bird,Bird EP,Recondite,4/23/2021,350047,50,0.672,0.089,0.637,0.889,0.14,-10.117,0.052,125.8,4
0VoqjK1Nf9MjeRM60b8GiO,Sendeturm,Zoot Module,PBR Streetgang,10/16/2020,202314,41,0.517,0.173,0.495,0.788,0.117,-12.719,0.0311,121.026,4
7EimeHXbC86pwUfjWXFtL2,"This Time, This Place…","This Time, This Place…",Beki Mari,2/23/2022,464200,48,0.554,0.00287,0.901,0.921,0.656,-7.058,0.0358,121.004,4
75N5R8CeZDyJurQJsoRTx1,Risky Business,Risky Business,ZHU,9/11/2020,320854,55,0.787,0.0875,0.653,0.735,0.0933,-6.825,0.0649,122.995,4
0UrJe2qd5b0mgcnwcLYIxm,Synthetism,Unified Vol.15,Hrederik,12/3/2021,204590,30,0.662,0.0028,0.863,0.903,0.74,-7.46,0.0369,121.996,4
38be6Tha1a4kOJPBaqpeEm,Flame - Edit,Flame,ARTBAT,8/27/2021,326929,55,0.608,0.00181,0.936,0.736,0.0463,-6.254,0.0583,127.038,4
4cF6Pk7YaRtv91mSZa4nVi,Say Hello,Say Hello EP,Meliha,3/5/2021,207111,52,0.745,0.0355,0.766,0.636,0.153,-8.688,0.0335,121.031,4
5bHbUMtuZIpHtTPdoJmcaN,Need To Feel Loved - Tinlicker Remix,Anjunabeats Volume 14,Tinlicker,5/31/2019,308053,57,0.513,0.00103,0.903,0.872,0.406,-7.53,0.0414,124.657,4
0P3Sfu8JGonAXzPyjAf6RU,Vommuli,Vommuli,EDX,8/20/2021,232379,53,0.608,0.0186,0.912,0.898,0.187,-6.612,0.0347,123.921,4
3SwAjQOvQ79jpLZyjzJwJh,The Grand Swell,The Grand Swell,Dirty South,8/19/2021,291532,42,0.641,0.275,0.705,0.911,0.0615,-9.877,0.0391,124.001,4
65kSgWVGY4JIWNLWnfEwbe,Grains,Rogue,Cassian,11/19/2020,284619,49,0.333,0.0141,0.814,0.889,0.34,-9.359,0.0616,123.994,4
5JGCS3oySt8hnSQeMOqDGc,Exhilaration,Sternstunde | Exhilaration,Solee,11/26/2021,414326,53,0.662,0.059,0.725,0.717,0.0772,-8.958,0.0469,124.994,4
6RCT4geaXTmDmtiwFLJv8j,To the Sea - Einmusik Remix,To the Sea,Einmusik,6/12/2020,452000,58,0.741,0.00706,0.853,0.831,0.0757,-10.141,0.0406,123.998,4
0nGRMJGfNJVY9SNGckjP04,Volition,Cronus / Volition,Kasablanca,12/10/2021,292444,38,0.668,0.00889,0.865,0.822,0.375,-7.247,0.0429,123.995,4
4i8L5asDJ4XZEYjhW1hFge,ION,Bluiris EP,Brian Cid,3/5/2021,491000,36,0.657,0.682,0.68,0.915,0.111,-13.755,0.0427,119.027,4
4rERaNiKlILD603GJvdEvm,Cappadocia,Cappadocia,Romain Garcia,9/10/2020,282064,64,0.349,0.0037,0.685,0.893,0.122,-9.281,0.0421,123.025,4
5QCFCmu2pCzQE2uobbJ3jt,Just A Dream,Just A Dream,Delta Underground,2/24/2021,209280,42,0.484,0.001,0.753,0.226,0.278,-7.365,0.0445,125.002,4
4yqRW7Ovd47DcgfuWXzEGR,Holding On,Holding On,Lauren L'aimant,5/28/2021,218000,50,0.637,0.0051,0.875,0.0947,0.411,-5.933,0.0345,119.984,4
5w7oiZLuf3fFilWEnp9pqo,Chemical,Chemical,SOHMI,9/23/2021,215462,38,0.581,0.00325,0.801,0.566,0.189,-8.272,0.0284,123.971,4
3SXRZuCEGbbxsPiHyqwWuG,Underwater,Underwater,MK,9/25/2020,177598,56,0.639,0.00833,0.631,0.146,0.119,-10.686,0.033,121.968,4
4TQgbkv9CF1Qy4GIfpZeSO,The World You See,The World You See,Artche,2/26/2021,217515,57,0.545,0.0119,0.903,0.0647,0.0803,-7.279,0.0485,126,4
77PphOhe88ESixnOdJBfby,Just Us 2,Just Us 2,Vivra Verra,6/8/2020,424938,44,0.668,0.0145,0.811,0.83,0.113,-9.789,0.112,123.982,4
7aggzqfbAW7LnkJUy9UAdJ,Lose Your Head - CamelPhat Remix,Lose Your Head (CamelPhat Remix),CamelPhat,1/22/2021,216201,49,0.554,0.0141,0.872,0.027,0.585,-7.155,0.0392,122.999,4
5XU99uJiaZIlfy1ID23veH,Should Have Seen It Coming,Should Have Seen It Coming,AETHO,2/4/2021,238073,55,0.4,0.228,0.87,0.0105,0.319,-5.749,0.0439,119.991,4
51FhBK3td2Wsvxs8zMCRPT,Hot Foot,Hot Foot,Fabrication,1/4/2021,630732,43,0.69,0.0157,0.937,0.906,0.298,-9.535,0.0558,125.003,4
7qmj6GXCoataBL3kBYBrII,Bridges In The Sky (feat. Maurits Colijn),Bridges In The Sky,Maurits Colijn,2/19/2021,345366,50,0.751,0.101,0.729,0.918,0.113,-9.282,0.0389,122.988,4
61VpTyZBzCFtkPpii7pYWl,bygones,bygones,John Dahlbäck,8/20/2021,195360,42,0.684,0.207,0.907,0.283,0.0767,-4.025,0.0405,125.013,4
3CmUXmrh17WIaQOQu9OVha,Hypercolour,Hypercolour,Foals,6/26/2020,209082,54,0.643,0.0183,0.789,0.52,0.0901,-7.165,0.0322,122.035,3
0TzkG2s7nhpZs0RNSBsAlF,Annihilation,Annihilation,Lights,5/15/2020,247385,54,0.669,0.000577,0.697,0.43,0.603,-7.738,0.0321,130.036,3
2xUsXYIiK18wSnv2SXFGtj,Invisible - Paul Kalkbrenner Remix,Invisible (Paul Kalkbrenner Remix),Paul Kalkbrenner,4/14/2021,457037,64,0.705,0.393,0.597,0.838,0.103,-8.817,0.0406,128.001,4
5UjOTMEtd4vqSLXxyO71Yb,Change,Change,Henrik Villard,5/1/2020,392279,35,0.89,0.00574,0.549,0.494,0.0641,-9.225,0.192,117.995,4
65KIaxjBVPTsEsfdIcaJGb,Galahad,Only You,TIBASKO,11/13/2020,209790,35,0.703,0.00235,0.83,0.855,0.136,-7.938,0.0377,125.007,4
2TrBUx5NKNRD3haOx9vgcO,Stay Curious,Stay Curious,SQU4RE,4/22/2021,243871,40,0.549,0.19,0.705,0.875,0.0845,-10.563,0.0324,123.998,4
67cSFn3SLBoKqGW20bswdw,Waiting For You,Waiting For You,Yotto,4/30/2021,225605,49,0.621,0.00304,0.848,0.000772,0.347,-6.235,0.0297,122.987,4
3gwL0zQKWmtJA8oYhXmqn8,Sun,Sun EP,Tim Engelhardt,10/30/2020,449957,35,0.747,0.00474,0.781,0.853,0.231,-9.341,0.0432,124.002,4
1jCfoQwzEeIuawlCbhM1Kp,Reminiscing,Reminiscing,Nora En Pure,1/28/2022,258537,55,0.612,0.129,0.848,0.917,0.275,-7.733,0.0587,123.063,4
6fJuBz3USd1yPzmMLtouE2,Trechter,Ondertitel,Zonderling,1/28/2022,408387,46,0.615,0.242,0.856,0.888,0.11,-8.353,0.299,104.9,4
5J54xW5p85niQOxeq7GiD5,Silence,Silence,Kidnap,10/6/2020,245881,55,0.59,0.0492,0.792,0.867,0.127,-8.376,0.0461,121.033,4
4aoT4eYesZWIwifnIFRgcs,Elements Of A New Life,Elements Of A New Life,Tiësto,7/16/2021,205161,57,0.602,0.129,0.592,0.934,0.13,-12.242,0.038,124.013,3
4N0RKL2Yeoet1JgAFVbFKf,No Sleep - Radio Edit,Death by Techno,i_o,5/3/2019,243840,41,0.558,0.00087,0.886,0.504,0.249,-7.457,0.0461,124.976,4
2InrK5IWeTPIVRZQPOEDIO,To The Ground,To The Ground,Matt Fax,2/8/2019,233440,51,0.556,0.0137,0.855,0.323,0.202,-8.916,0.0693,123.989,4
2A0i0EbPhPPQB1DijycJ27,That Feeling,That Feeling,Jackarta,12/17/2021,231710,37,0.64,0.000689,0.978,0.808,0.315,-6.478,0.0462,123.013,4
6jdaBz780wecXanS9elu68,Elamy,Elamy,Miss Monique,2/11/2022,278400,50,0.621,0.013,0.968,0.916,0.811,-7.625,0.0674,125,4
5U02FNAwfBPeojYhUp9igd,Chrom,Chrom | Neon,Rauschhaus,11/5/2021,417582,39,0.726,0.000101,0.918,0.85,0.0815,-6.481,0.0405,123.01,4
