track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
56hqHWBMKOxFz4c6jBrSx1,348000,29,0.753,0.000221,0.987,0.856,0.0692,-5.8260000000000005,0.0579,140.011,4,1
04FG4dyY08tSmkbkngtU57,434808,1,0.765,0.000251,0.9990000000000001,0.823,0.243,-7.587999999999999,0.0843,142.007,4,1
1DMtmqhxuI9hexsEKQjsHx,252427,16,0.7140000000000001,0.00386,0.948,0.66,0.12300000000000001,-8.837,0.0651,137.981,4,1
1mukJAckgKslMcht6Sv0wM,308868,22,0.8109999999999999,0.0248,0.914,0.826,0.0695,-6.879,0.046,124.0,4,1
2YQQlWVMI8G7JaizPhhKRa,342777,15,0.757,0.0008460000000000001,0.8440000000000001,0.9179999999999999,0.0869,-8.017000000000001,0.075,146.994,4,1
35dKVwFO3YAf02pu1JHBV3,190133,24,0.6679999999999999,0.0706,0.9990000000000001,0.9209999999999999,0.7609999999999999,-7.7379999999999995,0.13,136.32399999999998,4,1
2wNEBBr52TumYRmtYH1ocC,397189,37,0.6679999999999999,0.00498,0.991,0.7859999999999999,0.20199999999999999,-5.553,0.0667,144.968,4,1
75DTouBzwDP20HGCZsT6Us,382247,18,0.7240000000000001,0.155,0.753,0.917,0.708,-10.112,0.0494,137.998,4,1
7nYxhgnjsTIezeF2zi4XTJ,436055,23,0.7829999999999999,0.00118,0.715,0.909,0.109,-10.07,0.0545,131.986,4,1
4xjYwow4FYqq6ubMxf2IuG,363142,26,0.639,9.609999999999999e-05,0.922,0.938,0.636,-6.205,0.0639,139.996,4,1
57Tn7DAEl2IT2D1oeFVRMu,389512,31,0.767,0.00639,0.976,0.91,0.129,-6.164,0.0665,141.97899999999998,4,1
2H4GMhla51TjmoIRODNdJN,404000,28,0.7170000000000001,0.00135,0.8590000000000001,0.882,0.11699999999999999,-6.989,0.0478,132.987,4,1
2HOfhfcp5ddGx9WQ2LwBVf,376320,20,0.804,0.00282,0.8540000000000001,0.905,0.126,-6.359,0.0462,125.006,4,1
3EG9FJ0ToLfgnc1IG2Z1wz,588139,77,0.46799999999999997,0.33299999999999996,0.652,0.00031800000000000003,0.55,-4.912,0.0722,140.22299999999998,4,1
6xkryXuiZU360Lngd4sx13,243493,76,0.669,0.139,0.727,0.0,0.12300000000000001,-7.587999999999999,0.0353,102.322,4,1
73ljrkSg4A0q3ByU0Cu7mw,222459,62,0.785,0.0148,0.9309999999999999,0.637,0.0459,-4.813,0.0465,135.986,4,1
7gUnRPvHzd82OCFZN6rvBs,281250,10,0.795,0.0026899999999999997,0.976,0.902,0.0856,-7.851,0.0492,128.013,4,1
